,step,total_agents,agents_shopping,agents_dwelling,agents_exiting,agents_completed
361,362,23,12,0,11,77
362,363,23,11,0,12,77
363,364,23,10,1,12,77
364,365,22,10,1,11,78
365,366,22,11,0,11,78
366,367,22,10,0,12,78
367,368,20,9,1,10,80
368,369,20,9,1,10,80
369,370,20,9,1,10,80
370,371,19,8,1,10,81
371,372,19,9,0,10,81
372,373,19,8,0,11,81
373,374,18,7,1,10,82
374,375,18,7,1,10,82
375,376,16,7,1,8,84
376,377,16,6,1,9,84
377,378,16,7,0,9,84
378,379,16,6,0,10,84
379,380,16,6,0,10,84
380,381,16,6,0,10,84
381,382,15,6,0,9,85
382,383,15,5,1,9,85
383,384,15,4,2,9,85
384,385,15,4,2,9,85
385,386,14,4,1,9,86
386,387,14,4,0,10,86
387,388,13,3,0,10,87
388,389,12,3,0,9,88
389,390,12,3,0,9,88
390,391,10,2,1,7,90
391,392,9,2,1,6,91
392,393,9,3,0,6,91
393,394,8,2,0,6,92
394,395,8,2,0,6,92
395,396,8,1,1,6,92
396,397,8,1,1,6,92
397,398,8,2,0,6,92
398,399,7,1,0,6,93
399,400,7,1,0,6,93
400,401,6,1,0,5,94
401,402,6,1,0,5,94
402,403,5,1,0,4,95
403,404,5,1,0,4,95
404,405,5,1,0,4,95
405,406,5,0,1,4,95
406,407,5,0,1,4,95
407,408,4,1,0,3,96
408,409,3,1,0,2,97
409,410,3,1,0,2,97
410,411,3,1,0,2,97
411,412,2,1,0,1,98
412,413,2,1,0,1,98
413,414,2,1,0,1,98
414,415,2,1,0,1,98
415,416,1,1,0,0,99
416,417,1,1,0,0,99
417,418,1,1,0,0,99
418,419,1,1,0,0,99
419,420,1,1,0,0,99
420,421,1,1,0,0,99
421,422,1,1,0,0,99
422,423,1,1,0,0,99
423,424,1,1,0,0,99
424,425,1,1,0,0,99
425,426,1,1,0,0,99
426,427,1,1,0,0,99
427,428,1,1,0,0,99
428,429,1,1,0,0,99
429,430,1,1,0,0,99
430,431,1,1,0,0,99
431,432,1,1,0,0,99
432,433,1,1,0,0,99
