Step,AgentID,agent_id,position,state,products_remaining
29.0,10,10,"(8, 4)",shopping,1
29.0,11,11,"(7, 5)",shopping,2
29.0,12,12,"(5, 3)",shopping,2
29.0,13,13,"(4, 4)",shopping,2
29.0,14,14,"(2, 4)",shopping,1
30.0,2,2,"(26, 5)",shopping,2
30.0,3,3,"(24, 3)",shopping,1
30.0,4,4,"(22, 3)",shopping,1
30.0,5,5,"(20, 3)",shopping,1
30.0,6,6,"(12, 6)",shopping,1
30.0,7,7,"(15, 4)",shopping,1
30.0,8,8,"(13, 4)",shopping,1
30.0,9,9,"(11, 4)",shopping,1
30.0,10,10,"(9, 4)",shopping,1
30.0,11,11,"(8, 5)",shopping,2
30.0,12,12,"(6, 3)",shopping,2
30.0,13,13,"(5, 4)",shopping,2
30.0,14,14,"(3, 4)",shopping,1
30.0,15,15,"(1, 4)",shopping,2
31.0,2,2,"(27, 5)",shopping,2
31.0,3,3,"(25, 3)",shopping,1
31.0,4,4,"(23, 3)",shopping,1
31.0,5,5,"(21, 3)",shopping,1
31.0,6,6,"(13, 6)",shopping,1
31.0,7,7,"(16, 4)",shopping,1
31.0,8,8,"(14, 4)",shopping,1
31.0,9,9,"(12, 4)",shopping,1
31.0,10,10,"(10, 4)",shopping,1
31.0,11,11,"(9, 5)",shopping,2
31.0,12,12,"(6, 4)",shopping,2
31.0,13,13,"(5, 3)",shopping,2
31.0,14,14,"(3, 5)",shopping,1
31.0,15,15,"(2, 4)",shopping,2
32.0,2,2,"(28, 5)",shopping,2
32.0,3,3,"(26, 3)",shopping,1
32.0,4,4,"(24, 3)",shopping,1
32.0,5,5,"(22, 3)",shopping,1
32.0,6,6,"(14, 6)",shopping,1
32.0,7,7,"(17, 4)",shopping,1
32.0,8,8,"(15, 4)",shopping,1
32.0,9,9,"(13, 4)",shopping,1
32.0,10,10,"(11, 4)",shopping,1
32.0,11,11,"(10, 5)",shopping,2
32.0,12,12,"(7, 4)",shopping,2
32.0,13,13,"(6, 3)",shopping,2
32.0,14,14,"(4, 5)",shopping,1
32.0,15,15,"(2, 5)",shopping,2
32.0,16,16,"(1, 4)",shopping,2
33.0,2,2,"(29, 5)",shopping,2
33.0,3,3,"(27, 3)",shopping,1
33.0,4,4,"(25, 3)",shopping,1
33.0,5,5,"(23, 3)",shopping,1
33.0,6,6,"(15, 6)",shopping,1
33.0,7,7,"(18, 4)",shopping,1
33.0,8,8,"(16, 4)",shopping,1
33.0,9,9,"(14, 4)",shopping,1
33.0,10,10,"(12, 4)",shopping,1
33.0,11,11,"(11, 5)",shopping,2
33.0,12,12,"(8, 4)",shopping,2
33.0,13,13,"(7, 3)",shopping,2
33.0,14,14,"(5, 5)",shopping,1
33.0,15,15,"(3, 5)",shopping,2
33.0,16,16,"(2, 4)",shopping,2
34.0,2,2,"(29, 6)",shopping,2
34.0,3,3,"(28, 3)",shopping,1
34.0,4,4,"(26, 3)",shopping,1
34.0,5,5,"(24, 3)",shopping,1
34.0,6,6,"(16, 6)",shopping,1
34.0,7,7,"(19, 4)",shopping,1
34.0,8,8,"(17, 4)",shopping,1
34.0,9,9,"(15, 4)",shopping,1
34.0,10,10,"(13, 4)",shopping,1
34.0,11,11,"(12, 5)",shopping,2
34.0,12,12,"(9, 4)",shopping,2
34.0,13,13,"(8, 3)",shopping,2
34.0,14,14,"(5, 6)",shopping,1
34.0,15,15,"(4, 5)",shopping,2
34.0,16,16,"(3, 4)",shopping,2
34.0,17,17,"(1, 4)",shopping,2
35.0,2,2,"(29, 6)",dwelling,2
35.0,3,3,"(29, 3)",shopping,1
35.0,4,4,"(27, 3)",shopping,1
35.0,5,5,"(25, 3)",shopping,1
35.0,6,6,"(17, 6)",shopping,1
35.0,7,7,"(20, 4)",shopping,1
35.0,8,8,"(18, 4)",shopping,1
35.0,9,9,"(16, 4)",shopping,1
35.0,10,10,"(14, 4)",shopping,1
35.0,11,11,"(13, 5)",shopping,2
35.0,12,12,"(10, 4)",shopping,2
35.0,13,13,"(9, 3)",shopping,2
35.0,14,14,"(6, 6)",shopping,1
35.0,15,15,"(5, 5)",shopping,2
35.0,16,16,"(4, 4)",shopping,2
35.0,17,17,"(2, 4)",shopping,2
36.0,2,2,"(29, 6)",dwelling,2
36.0,3,3,"(30, 3)",shopping,1
36.0,4,4,"(28, 3)",shopping,1
36.0,5,5,"(26, 3)",shopping,1
36.0,6,6,"(18, 6)",shopping,1
36.0,7,7,"(21, 4)",shopping,1
36.0,8,8,"(19, 4)",shopping,1
36.0,9,9,"(17, 4)",shopping,1
36.0,10,10,"(15, 4)",shopping,1
36.0,11,11,"(14, 5)",shopping,2
36.0,12,12,"(11, 4)",shopping,2
36.0,13,13,"(10, 3)",shopping,2
36.0,14,14,"(7, 6)",shopping,1
36.0,15,15,"(6, 5)",shopping,2
36.0,16,16,"(5, 4)",shopping,2
36.0,17,17,"(2, 3)",shopping,2
36.0,18,18,"(1, 4)",shopping,1
37.0,2,2,"(29, 6)",shopping,1
37.0,3,3,"(31, 3)",shopping,1
37.0,4,4,"(29, 3)",shopping,1
37.0,5,5,"(27, 3)",shopping,1
37.0,6,6,"(19, 6)",shopping,1
37.0,7,7,"(22, 4)",shopping,1
37.0,8,8,"(20, 4)",shopping,1
37.0,9,9,"(18, 4)",shopping,1
37.0,10,10,"(16, 4)",shopping,1
37.0,11,11,"(15, 5)",shopping,2
37.0,12,12,"(11, 5)",shopping,2
37.0,13,13,"(11, 3)",shopping,2
